2025-11-26T14:25:01.538Z,8381,220,0.4052
2025-11-26T14:25:23.542Z,2646,439,0.1926
2025-11-26T14:28:45.190Z,8381,235,0.4078
2025-11-26T14:32:14.095Z,8381,268,0.4136
2025-11-26T14:32:45.473Z,2646,319,0.1716
2025-11-26T14:33:12.036Z,9717,394,0.4941
2025-11-26T14:33:38.310Z,8665,344,0.4393
2025-11-26T14:34:35.361Z,8381,310,0.4209
2025-11-26T14:35:04.166Z,8381,243,0.4092
2025-11-26T14:35:32.155Z,2646,349,0.1768
2025-11-26T14:35:58.485Z,9717,392,0.4937
2025-11-26T15:18:49.142Z,8381,271,0.4141
2025-11-26T15:19:15.608Z,8381,276,0.4150
2025-11-26T15:19:42.657Z,2646,338,0.1749
2025-11-26T15:20:09.186Z,9717,394,0.4941
2025-11-26T15:20:34.172Z,8665,362,0.4424
2025-11-26T15:21:02.662Z,2835,322,0.1804
